Year;PIB_change_Nacional;PIB_percapita_Nacional
2008;1.020112679000652;24.017553690005396
2009;-4.842587709000682;22.85448257998674
2010;-0.2765169197000144;22.79128607000793
2011;-1.2231793760001766;22.51250776000167
2012;-3.199446173001197;21.792232190013653
2013;-0.766368868900116;21.625223310006525
2014;1.938021023999642;22.04432469000774
2015;4.729480862998697;23.086906800000328
2016;3.5270836499987923;23.901201319997355
2017;4.282632881997428;24.92480202998157
2018;3.1366990340016776;25.70661804999706
